SAMPLE_NUMBER,Assay_Date,Compartment_Temp,Reagent-A ID,Reagent-A_ID_Exp_Date,Reagent-B_Exp_Date,Reagent-B ID,Material-A ID,Reagent-C Lot,Reagent-D Lot,Reagent-E Lot,Reagent-F Concentration,Reagent-F_Expiration,Reagent-F Lot,SOP Version,Agg%,INSTRUMENT,Main%,Lab_Site,Chemist
120629,2011-01-28,4.9,11-001-0014,04/25/2011,,,R5307-19P,,,10R1856,,01/31/2012,0R1860,4.0,5.79,27.0,90.43,Stat,ChemistO
126733,2011-02-15,4.9,11R0834,05/12/2011,02/23/2011,11R1008,P5530-19N,,,10R1856,,01/31/2012,0R1860,4.0,5.98,81.0,90.16,Park,ChemistV
134380,2011-03-04,5.2,11-001-0014,04/25/2011,,,R6269-22P,,,11-005-0006,,01/31/2012,0R1860,4.0,5.811,34.0,90.301,Stat,ChemistO
140369,2011-03-23,4.9,11R1229,06/14/2011,03/30/2011,11R0847,P5530-19N,,,10R1856,,01/31/2012,0R1860,4.0,5.94,50.0,90.202,Park,ChemistV
142895,2011-03-30,,11-001-0014,04/25/2011,,,R6284-22P,,,11-005-0006,,01/31/2012,0R1860,4.0,5.6735,30.0,90.536,Stat,ChemistO
150741,2011-04-19,4.9,11-002-0098,07/15/2011,,,R6269-22P,,,11-005-0006,,01/31/2012,0R1860,5.0,,30.0,,Stat,ChemistO
150958,2011-04-20,4.9,11-002-0098,07/15/2011,,,R6269-22P,,,11-005-0006,,01/31/2012,0R1860,5.0,5.157,30.0,90.822,Stat,ChemistO
158404,2011-05-09,5.2,11-004-0089,08/03/2011,,,R6284-22P,,,11-005-0006,,01/31/2012,0R1860,5.0,5.5995,30.0,90.54,Stat,ChemistO
166625,2011-05-27,4.9,11-004-0089,08/03/2011,,,R5435-19P,,,11-005-0006,,01/31/2012,0R1860,5.0,,27.0,,Stat,ChemistO
171505,2011-06-08,4.9,11-004-0089,08/03/2011,,,R6284-22P,,,11-005-0006,,01/31/2012,0R1860,5.0,5.8085,38.0,90.379,Stat,ChemistO
172383,2011-06-15,4.9,11R1271,09/13/2011,06/27/2011,11R1398,S4165-09P,,,10R1859,,01/31/2012,0R1860,5.0,5.85,48.0,90.0,Park,ChemistW
172396,2011-06-13,4.9,11-015-0052,09/09/2011,,,R6284-22P,,,11-005-0006,,01/31/2012,0R1860,5.0,5.947,27.0,89.8125,Stat,ChemistO
175554,2011-06-21,4.9,11-015-0052,09/09/2011,07/04/2011,11-014-0040,R6284-22P,C100,11-014-0044,11-005-0006,1.0,01/31/2012,0R1860,5.0,6.1335,29.0,89.6405,Stat,ChemistB
177433,2011-06-24,,11-012-0044,09/22/2011,,,R6284-22P,C100,11-014-0044,11-005-0006,1.0,01/31/2012,0R1860,5.0,6.1555,29.0,89.6545,Stat,ChemistB
