TIMEPOINT,NAME,ENTRY,CONDITION,PRODUCT,Sample-Number,Lot
0,Deamidation,1.9,25_60,Lumab,213819,42268
1,Deamidation,2.2,25_60,Lumab,213827,42268
3,Deamidation,2.0,25_60,Lumab,213830,42268
6,Deamidation,3.4,25_60,Lumab,213833,42268
0,Deamidation,2.0,25_60,Lumab,211117,42267
1,Deamidation,2.3,25_60,Lumab,211120,42267
3,Deamidation,3.5,25_60,Lumab,211123,42267
6,Deamidation,4.1,25_60,Lumab,211126,42267
0,Deamidation,2.7,25_60,Lumab,211159,42266
1,Deamidation,2.3,25_60,Lumab,211162,42266
3,Deamidation,3.2,25_60,Lumab,211165,42266
6,Deamidation,3.1,25_60,Lumab,211168,42266
3,Deamidation,3.3,25_60,Lumab,12091,39289
6,Deamidation,3.3,25_60,Lumab,12096,39289
0,Deamidation,2.5,25_60,Lumab,185616,42355
3,Deamidation,4.6,25_60,Lumab,185619,42355
6,Deamidation,4.5,25_60,Lumab,185622,42355
0,Deamidation,3.3,25_60,Lumab,10645,39289
