Sample-Number,Measure F,Measure E,Measure D,Measure C,Measure G,Measure B,Measure A,Measure H
32976,0.3,0.7,9.8,283,0.020,99.6,6.0,140
33045,0.3,0.7,9.9,282,0.020,99.4,6.1,158
33232,0.4,1.1,11.0,282,0.028,100.0,6.1,149
33244,0.1,1.1,10.6,284,0.020,99.9,6.0,157
33392,0.1,1.3,11.7,289,0.021,99.1,6.1,159
33622,0.2,1.0,10.9,282,0.020,99.3,6.2,140
33690,0.3,1.0,11.0,280,0.020,99.2,6.1,142
33874,0.3,0.9,10.3,281,0.020,99.9,6.0,150
34090,0.2,0.8,10.4,280,0.021,100.0,6.0,147
34112,0.4,0.4,10.2,278,0.020,99.4,5.9,145
34171,0.3,0.5,11.1,280,0.020,100.0,6.0,147
34511,0.1,0.8,10.2,285,0.019,99.6,6.0,149
34666,0.4,0.5,10.1,278,0.021,99.9,6.1,141
34823,0.2,0.6,11.6,284,0.020,100.0,5.9,143
34926,0.5,0.7,10.7,278,0.019,99.9,6.1,140
35049,0.4,0.9,9.8,281,0.020,99.8,6.0,140
35287,0.4,0.6,11.3,278,0.019,100.0,6.0,150
35423,0.1,0.8,11.3,279,0.020,99.9,6.0,150
35577,0.1,0.5,10.9,280,0.020,99.6,6.0,151
35986,0.2,0.8,10.2,280,0.020,100.0,6.0,146
36003,0.1,0.5,10.6,280,0.020,100.0,6.0,157
36798,0.2,0.8,9.3,281,0.020,99.5,5.9,147
37133,0.3,0.6,10.5,278,0.020,99.6,6.0,144
37494,0.1,0.8,8.8,277,0.019,99.8,6.1,153
37725,0.1,0.5,10.3,275,0.020,99.8,6.1,143
38093,0.4,0.7,11.2,278,0.020,99.7,6.1,155
39184,0.1,0.7,10.9,284,0.020,99.8,6.0,155
84832,0.3,0.9,11.7,282,0.020,99.8,5.8,153
86796,0.5,0.9,11.0,283,0.021,99.8,5.9,157
90554,0.1,0.8,11.1,284,0.020,99.7,6.0,144
92961,0.4,0.9,12.2,287,0.019,99.7,6.0,154
94818,0.2,0.8,12.4,289,0.020,99.7,6.0,156
98799,0.1,0.5,10.6,283,0.020,99.7,6.0,144
104704,0.3,0.7,11.7,278,0.020,99.2,5.9,147
104862,0.1,0.7,12.1,285,0.019,99.8,6.1,153
110272,0.1,0.7,12.2,283,0.021,100.0,6.1,142
115506,0.2,1.0,11.2,281,0.020,100.0,6.1,142
122550,0.2,1.0,11.9,283,0.021,99.9,6.0,145
123615,0.3,1.1,11.9,283,0.020,99.7,6.0,145
127553,0.2,1.1,12.4,284,0.020,99.9,6.0,152
132940,0.1,1.3,11.8,286,0.021,99.3,6.0,142
139986,0.3,1.2,12.4,282,0.021,99.5,6.0,148
142451,0.3,0.9,14.5,281,0.019,99.8,6.1,153
148175,0.3,0.9,13.5,285,0.019,99.6,6.0,141
156646,0.1,0.9,14.0,290,0.021,99.9,6.0,156
159842,0.2,0.9,12.8,283,0.020,99.7,6.0,143
167167,0.3,0.9,12.6,281,0.021,99.9,6.0,145
172086,0.2,0.8,12.2,283,0.020,99.8,6.1,144
177433,0.4,0.7,13.0,284,0.020,100.0,6.1,152
182179,0.3,0.8,13.1,286,0.019,99.9,6.0,146
188489,0.4,0.8,12.5,281,0.018,99.7,6.1,146
192008,0.4,1.0,12.2,281,0.020,99.9,6.1,143
196279,0.2,1.0,12.3,281,0.021,100.0,6.1,145
200149,0.1,0.9,11.8,281,0.021,100.0,6.0,157
202968,0.1,0.9,12.7,280,0.019,99.7,6.0,150
207588,0.3,0.9,12.3,282,0.020,99.6,6.1,147
214553,0.3,0.8,12.4,278,0.021,99.7,6.0,143
220774,0.3,0.9,12.3,277,0.020,99.6,6.0,155
224139,0.2,0.8,12.4,278,0.020,99.8,6.0,154
229561,0.2,0.7,10.9,278,0.020,100.0,6.0,142
233519,0.2,0.8,11.9,280,0.020,100.0,6.0,151
236558,0.2,0.8,12.0,276,0.019,99.5,6.1,147
242452,0.2,0.7,11.8,281,0.023,100.0,6.0,145
245973,0.1,0.7,11.3,281,0.021,100.0,6.1,140
249851,0.1,0.8,11.9,283,0.022,99.9,6.1,157
252718,0.2,0.7,11.5,280,0.021,99.5,6.1,142
257515,0.2,0.5,10.7,280,0.022,99.9,6.1,153
267124,0.2,1.0,11.8,282,0.022,100.0,6.1,157
267633,0.2,1.0,10.9,282,0.023,99.9,6.1,143
271382,0.2,0.9,12.8,282,0.021,100.0,6.0,140
271563,0.3,1.0,12.3,283,0.021,99.9,6.1,159
281166,0.2,0.6,13.5,283,0.021,100.0,6.0,154
284923,0.4,0.7,11.8,281,0.020,100.0,6.0,156
285864,0.2,0.6,11.9,283,0.021,99.8,6.0,141
290829,0.3,0.6,10.2,283,0.020,99.7,6.0,145
331824,0.1,0.8,9.9,279,0.021,99.8,6.1,149
340505,0.2,0.6,10.3,280,0.021,99.8,6.0,157
346164,0.2,0.6,10.6,284,0.021,99.9,6.0,156
349678,0.2,0.7,10.5,283,0.021,99.9,6.1,142
356623,0.1,0.7,10.6,280,0.022,100.0,6.0,142
364839,0.2,0.8,9.8,281,0.021,99.9,6.0,142
434648,0.1,0.8,10.4,281,0.020,100.0,6.0,150
459862,0.1,0.7,11.9,280,0.020,100.0,6.0,142
465722,0.2,1.2,10.3,280,0.021,99.8,6.1,145
466205,0.1,0.7,10.5,276,0.021,100.0,6.0,145
470537,0.2,0.8,13.5,278,0.021,100.0,6.0,145
471438,0.3,1.1,10.3,275,0.022,99.6,6.0,154
477272,0.3,0.7,12.3,281,0.021,99.8,6.0,145
483847,0.2,0.8,13.1,279,0.020,99.6,6.0,142
487137,0.2,0.8,10.7,283,0.023,99.8,6.1,159
490505,0.2,0.8,10.8,280,0.019,99.7,6.0,141
495109,0.2,0.6,8.9,281,0.020,99.8,6.1,143
503196,0.1,0.9,10.4,282,0.019,99.8,6.1,151
503335,0.1,0.7,11.5,280,0.020,99.8,6.0,150
507008,0.3,0.8,9.6,280,0.019,99.8,6.1,157
514536,0.4,1.0,10.3,279,0.020,99.9,6.0,145
518971,0.2,1.4,10.5,285,0.022,99.5,6.0,159
521091,0.3,1.0,10.5,133,0.044,99.8,6.1,149
523882,0.1,0.9,10.4,281,0.020,99.8,6.0,142
536211,0.2,0.8,10.2,280,0.019,99.7,6.0,154
666733,0.3,1.0,10.5,287,0.023,99.5,6.0,150
675647,0.1,1.1,10.8,284,0.021,100.0,6.0,159
687433,0.2,1.0,10.2,285,0.021,99.9,6.1,146
693789,0.2,1.1,10.3,287,0.020,99.5,6.0,141
698815,0.3,1.0,10.4,283,0.021,99.8,6.0,153
700159,0.3,0.7,12.0,282,0.019,99.9,6.0,148
700345,0.3,0.6,11.9,280,0.019,100.0,6.0,149
708906,0.3,1.2,11.0,300,0.021,99.9,6.0,154
719897,0.1,0.7,12.6,280,0.019,99.9,6.0,150
725406,0.3,0.8,13.2,281,0.018,99.7,6.0,157
725649,0.1,1.2,11.2,280,0.020,100.0,6.0,159
731874,0.2,1.3,10.6,281,0.019,99.9,6.0,152
739256,0.2,0.9,13.2,281,0.020,99.9,6.0,156
739271,0.3,0.9,12.4,282,0.020,98.9,6.0,154
768261,0.3,1.0,13.2,279,0.019,99.6,6.1,142
784345,0.3,0.8,13.3,276,0.020,99.9,6.0,146
788993,0.2,1.0,12.3,283,0.022,99.9,6.0,159
793457,0.2,0.8,12.4,286,0.020,99.5,6.0,148
795970,0.2,0.8,12.5,280,0.019,99.8,6.0,151
800218,0.1,0.8,14.8,288,0.019,99.8,6.1,159
800440,0.2,0.9,12.8,287,0.019,99.2,6.1,146
806881,0.3,0.7,14.6,282,0.019,100.0,6.0,144
808918,0.1,0.8,12.2,285,0.021,99.3,6.0,149
810849,0.1,1.0,12.5,283,0.020,99.8,6.0,146
819111,0.2,1.0,13.3,286,0.019,99.8,6.0,159
819164,0.2,0.8,14.7,137,0.040,100.0,6.1,154
842426,0.2,0.9,14.8,136,0.040,99.9,6.1,144
848639,0.1,1.5,12.9,281,0.020,99.3,6.0,144
853631,0.1,0.8,15.6,139,0.043,99.8,6.1,145
863103,0.2,0.9,15.0,282,0.003,99.9,6.0,157
992628,0.3,1.2,12.9,277,0.020,99.8,6.1,143
999325,0.3,0.9,13.1,279,0.019,99.7,6.0,146
999364,0.2,1.4,12.7,282,0.020,99.9,6.0,149
1002550,0.1,1.5,13.5,282,0.021,100.0,6.0,141
1002690,0.1,1.4,13.4,278,0.020,100.0,6.0,156
1004004,0.3,1.0,13.6,283,0.020,99.8,6.0,157
1014256,0.3,1.4,14.0,280,0.020,99.6,6.0,150
1017995,0.2,1.2,13.3,279,0.021,99.8,6.0,153
1022889,0.1,1.4,13.9,280,0.020,100.0,6.0,151
1029391,0.3,1.4,13.3,282,0.019,99.6,6.0,149
1033237,0.1,1.0,13.1,278,0.020,99.6,6.0,152
1033339,0.1,0.6,14.0,280,0.021,99.5,6.1,147
1034108,0.1,0.8,12.2,280,0.019,100.0,6.1,144
1037839,0.2,0.6,14.2,280,0.022,99.5,6.0,159
1040458,0.3,1.2,13.5,280,0.01815,100.0,6.0,152
1045996,0.1,0.6,13.7,276,0.022,99.6,6.1,148
1046275,0.3,1.6,13.4,281,0.01852,99.7,6.0,143
1046289,0.1,1.4,13.1,280,0.01917,99.9,6.0,140
1046299,0.2,1.8,13.0,279,0.017965,99.7,6.0,141
