,TIMEPOINT,NAME,ENTRY,CONDITION,PRODUCT,Sample-Number,Lot
0,06M,Deamidation,3.5,5C,Lumab,21573,39360
1,09M,Deamidation,3.3,5C,Lumab,21575,39360
2,12M,Deamidation,4.3,5C,Lumab,21578,39360
3,24M,Deamidation,3.644508337,5C,Lumab,95206,39404
4,24M,Deamidation,3.992744093,5C,Lumab,95209,39408
5,05M,Deamidation,4.5,5C,Lumab,127889,39511
6,38M,Deamidation,6.9,5C,Lumab,127890,39346
7,31M,Deamidation,4.7,5C,Lumab,124962,39360
8,31M,Deamidation,3.9,5C,Lumab,124963,39365
9,09M,Deamidation,4.724142819,5C,Lumab,131358,39499/2
10,36M,Deamidation,5.043210505,5C,Lumab,131361,42485
11,36M,Deamidation,,5C,Lumab,131361,42485
12,18M,Deamidation,5.128401172,5C,Lumab,136770,39465
13,38M,Deamidation,6.1,5C,Lumab,136771,39352
14,37M,Deamidation,,5C,Lumab,219824,39360
15,37M,Deamidation,,5C,Lumab,219825,39365
16,38M,Deamidation,5.2,5C,Lumab,221597,39360
17,38M,Deamidation,4.7,5C,Lumab,221598,39362
18,30M,Deamidation,6.32455027,5C,Lumab,232577,42487/J
19,36M,Deamidation,6.296181996,5C,Lumab,248179,39408
20,36M,Deamidation,,5C,Lumab,248179,39408
21,36M,Deamidation,5.981400898,5C,Lumab,248051,39404
22,09M,Deamidation,4.605954453,5C,Lumab,258775,39551
23,09M,Deamidation,4.216848953,5C,Lumab,258778,39557
24,00M,Deamidation,,5C,Lumab,18398,42485
25,03M,Deamidation,,5C,Lumab,18399,42485
26,06M,Deamidation,,5C,Lumab,18400,42485
27,09M,Deamidation,,5C,Lumab,18401,42485
28,12M,Deamidation,,5C,Lumab,18402,42485
29,30M,Deamidation,5.870420926,5C,Lumab,18407,42483
30,30M,Deamidation,6.701803321,5C,Lumab,32794,39346
31,30M,Deamidation,5.618523437,5C,Lumab,32796,39347
32,06M,Deamidation,4.544474703,5C,Lumab,120351,39511
33,03M,Deamidation,3.07499459,5C,Lumab,120354,39529
34,06M,Deamidation,3.027047623,5C,Lumab,217234,39557
35,06M,Deamidation,4.314456203,5C,Lumab,217237,39551
36,24M,Deamidation,5.133036545,5C,Lumab,220057,39465
37,12M,Deamidation,4.734334536,5C,Lumab,238587,39529
38,12M,Deamidation,6.522438702,5C,Lumab,238587,39529
39,09M,Deamidation,,5C,Lumab,336741,39590
40,24M,Deamidation,3.829621164,5C,Lumab,18420,42485
41,12M,Deamidation,5.075455103,5C,Lumab,31170,42487/J
42,06M,Deamidation,,5C,Lumab,46133,39477/2
43,24M,Deamidation,4.428036746,5C,Lumab,45894,39360
44,24M,Deamidation,4.544072086,5C,Lumab,45902,39362
45,24M,Deamidation,3.684309917,5C,Lumab,45907,39365
46,09M,Deamidation,3.645632955,5C,Lumab,46147,39465
47,12M,Deamidation,3.161413029,5C,Lumab,45983,39445
48,00M,Deamidation,<3.3,5C,Lumab,116988,39511
49,00M,Deamidation,<3.3,5C,Lumab,116991,39529
50,24M,Deamidation,4.2,5C,Lumab,211199,42267
51,30M,Deamidation,4.5,5C,Lumab,211203,42267
52,36M,Deamidation,3.7,5C,Lumab,211206,42267
53,38M,Deamidation,,5C,Lumab,221595,39360
54,00M,Deamidation,1.9,5C,Lumab,213731,42268
55,01M,Deamidation,2,5C,Lumab,213734,42268
56,03M,Deamidation,2.1,5C,Lumab,213737,42268
57,06M,Deamidation,2.5,5C,Lumab,213740,42268
58,09M,Deamidation,2.8,5C,Lumab,213743,42268
59,12M,Deamidation,3.6,5C,Lumab,213746,42268
60,18M,Deamidation,3,5C,Lumab,213749,42268
61,24M,Deamidation,4.1,5C,Lumab,213752,42268
62,30M,Deamidation,3.6,5C,Lumab,213755,42268
63,36M,Deamidation,2.6,5C,Lumab,213758,42268
64,00M,Deamidation,1.9,25_60,Lumab,213819,42268
65,01M,Deamidation,2.2,25_60,Lumab,213827,42268
66,03M,Deamidation,2,25_60,Lumab,213830,42268
67,06M,Deamidation,3.4,25_60,Lumab,213833,42268
68,12M,Deamidation,,5C,Lumab,335011,39569A
69,00M,Deamidation,4.1,5C,Lumab,46290,39499/2
70,30M,Deamidation,,5C,Lumab,102190,39360
71,30M,Deamidation,6.195760771,5C,Lumab,102192,39362
72,30M,Deamidation,,5C,Lumab,102196,39365
