TIMEPOINT,NAME,ENTRY,CONDITION,PRODUCT,Sample-Number,Lot
6,Deamidation,3.67,5C,Lumab,21573,39360
9,Deamidation,3.46,5C,Lumab,21575,39360
12,Deamidation,4.51,5C,Lumab,21578,39360
24,Deamidation,3.83,5C,Lumab,95206,39404
24,Deamidation,4.19,5C,Lumab,95209,39408
5,Deamidation,4.73,5C,Lumab,127889,39511
38,Deamidation,7.25,5C,Lumab,127890,39346
31,Deamidation,4.94,5C,Lumab,124962,39360
31,Deamidation,4.09,5C,Lumab,124963,39365
9,Deamidation,4.96,5C,Lumab,131358,39499/2
36,Deamidation,5.3,5C,Lumab,131361,42485
18,Deamidation,5.38,5C,Lumab,136770,39465
38,Deamidation,6.41,5C,Lumab,136771,39352
38,Deamidation,5.46,5C,Lumab,221597,39360
38,Deamidation,4.94,5C,Lumab,221598,39362
30,Deamidation,6.64,5C,Lumab,232577,42487-k
36,Deamidation,6.61,5C,Lumab,248179,39408
36,Deamidation,6.28,5C,Lumab,248051,39404
9,Deamidation,4.84,5C,Lumab,258775,39551
9,Deamidation,4.43,5C,Lumab,258778,39557
30,Deamidation,6.16,5C,Lumab,18407,42483
30,Deamidation,7.04,5C,Lumab,32794,39346
30,Deamidation,5.9,5C,Lumab,32796,39347
6,Deamidation,4.77,5C,Lumab,120351,39511
3,Deamidation,3.23,5C,Lumab,120354,39529
6,Deamidation,3.18,5C,Lumab,217234,39557
6,Deamidation,4.53,5C,Lumab,217237,39551
24,Deamidation,5.39,5C,Lumab,220057,39465
12,Deamidation,4.97,5C,Lumab,238587,39529
12,Deamidation,6.85,5C,Lumab,238587,39529
24,Deamidation,4.02,5C,Lumab,18420,42485
12,Deamidation,5.33,5C,Lumab,31170,42487-k
24,Deamidation,4.65,5C,Lumab,45894,39360
24,Deamidation,4.77,5C,Lumab,45902,39362
24,Deamidation,3.87,5C,Lumab,45907,39365
9,Deamidation,3.83,5C,Lumab,46147,39465
12,Deamidation,3.32,5C,Lumab,45983,39445
0,Deamidation,3.46,5C,Lumab,116988,39511
0,Deamidation,3.46,5C,Lumab,116991,39529
24,Deamidation,4.41,5C,Lumab,211199,42267
30,Deamidation,4.73,5C,Lumab,211203,42267
36,Deamidation,3.88,5C,Lumab,211206,42267
0,Deamidation,2.0,5C,Lumab,213731,42268
1,Deamidation,2.1,5C,Lumab,213734,42268
3,Deamidation,2.21,5C,Lumab,213737,42268
6,Deamidation,2.62,5C,Lumab,213740,42268
9,Deamidation,2.94,5C,Lumab,213743,42268
12,Deamidation,3.78,5C,Lumab,213746,42268
18,Deamidation,3.15,5C,Lumab,213749,42268
24,Deamidation,4.3,5C,Lumab,213752,42268
