TIMEPOINT,NAME,ENTRY,CONDITION,PRODUCT,Sample-Number,Lot
06M,Deamidation,3.6750000000000003,5C,Lumab,21573,39360
09M,Deamidation,3.465,5C,Lumab,21575,39360
12M,Deamidation,4.515,5C,Lumab,21578,39360
24M,Deamidation,3.82673375385,5C,Lumab,95206,39404
24M,Deamidation,4.192381297650001,5C,Lumab,95209,39408
05M,Deamidation,4.7250000000000005,5C,Lumab,127889,39511
38M,Deamidation,7.245000000000001,5C,Lumab,127890,39346
31M,Deamidation,4.9350000000000005,5C,Lumab,124962,39360
31M,Deamidation,4.095,5C,Lumab,124963,39365
09M,Deamidation,4.96034995995,5C,Lumab,131358,394997
36M,Deamidation,5.29537103025,5C,Lumab,131361,42485
36M,Deamidation,,5C,Lumab,131361,42485
18M,Deamidation,5.3848212306,5C,Lumab,136770,39465
38M,Deamidation,6.405,5C,Lumab,136771,39352
37M,Deamidation,,5C,Lumab,219824,39360
37M,Deamidation,,5C,Lumab,219825,39365
38M,Deamidation,5.460000000000001,5C,Lumab,221597,39360
38M,Deamidation,4.9350000000000005,5C,Lumab,221598,39362
30M,Deamidation,6.6407777835,5C,Lumab,232577,424872
36M,Deamidation,6.6109910958,5C,Lumab,248179,39408
36M,Deamidation,,5C,Lumab,248179,39408
36M,Deamidation,6.280470942900001,5C,Lumab,248051,39404
09M,Deamidation,4.83625217565,5C,Lumab,258775,39551
09M,Deamidation,4.4276914006500006,5C,Lumab,258778,39557
00M,Deamidation,,5C,Lumab,18398,42485
03M,Deamidation,,5C,Lumab,18399,42485
06M,Deamidation,,5C,Lumab,18400,42485
09M,Deamidation,,5C,Lumab,18401,42485
12M,Deamidation,,5C,Lumab,18402,42485
30M,Deamidation,6.163941972300001,5C,Lumab,18407,42483
30M,Deamidation,7.03689348705,5C,Lumab,32794,39346
30M,Deamidation,5.89944960885,5C,Lumab,32796,39347
06M,Deamidation,4.77169843815,5C,Lumab,120351,39511
03M,Deamidation,3.2287443195000005,5C,Lumab,120354,39529
06M,Deamidation,3.1784000041500002,5C,Lumab,217234,39557
06M,Deamidation,4.53017901315,5C,Lumab,217237,39551
24M,Deamidation,5.389688372250001,5C,Lumab,220057,39465
12M,Deamidation,4.9710512628000005,5C,Lumab,238587,39529
12M,Deamidation,6.8485606371,5C,Lumab,238587,39529
09M,Deamidation,,5C,Lumab,336741,39590
24M,Deamidation,4.021102222200001,5C,Lumab,18420,42485
12M,Deamidation,5.32922785815,5C,Lumab,31170,424872
06M,Deamidation,,5C,Lumab,46133,394777
24M,Deamidation,4.6494385833,5C,Lumab,45894,39360
24M,Deamidation,4.7712756903,5C,Lumab,45902,39362
24M,Deamidation,3.8685254128500004,5C,Lumab,45907,39365
09M,Deamidation,3.82791460275,5C,Lumab,46147,39465
12M,Deamidation,3.3194836804500003,5C,Lumab,45983,39445
00M,Deamidation,3.465,5C,Lumab,116988,39511
00M,Deamidation,3.465,5C,Lumab,116991,39529
24M,Deamidation,4.41,5C,Lumab,211199,42267
30M,Deamidation,4.7250000000000005,5C,Lumab,211203,42267
36M,Deamidation,3.8850000000000002,5C,Lumab,211206,42267
38M,Deamidation,,5C,Lumab,221595,39360
00M,Deamidation,1.9949999999999999,5C,Lumab,213731,42268
01M,Deamidation,2.1,5C,Lumab,213734,42268
03M,Deamidation,2.205,5C,Lumab,213737,42268
06M,Deamidation,2.625,5C,Lumab,213740,42268
09M,Deamidation,2.94,5C,Lumab,213743,42268
12M,Deamidation,3.7800000000000002,5C,Lumab,213746,42268
18M,Deamidation,3.1500000000000004,5C,Lumab,213749,42268
24M,Deamidation,4.305,5C,Lumab,213752,42268
30M,Deamidation,3.7800000000000002,5C,Lumab,213755,42268
36M,Deamidation,2.7300000000000004,5C,Lumab,213758,42268
00M,Deamidation,1.9949999999999999,25_60,Lumab,213819,42268
01M,Deamidation,2.3100000000000005,25_60,Lumab,213827,42268
03M,Deamidation,2.1,25_60,Lumab,213830,42268
06M,Deamidation,3.57,25_60,Lumab,213833,42268
12M,Deamidation,,5C,Lumab,335011,39569A
00M,Deamidation,4.305,5C,Lumab,46290,394997
30M,Deamidation,,5C,Lumab,102190,39360
30M,Deamidation,6.5055488095500005,5C,Lumab,102192,39362
30M,Deamidation,,5C,Lumab,102196,39365
18M,Deamidation,3.44327460645,5C,Lumab,102509,39445
32M,Deamidation,5.322497638500001,5C,Lumab,201165,39404
32M,Deamidation,6.213356489550001,5C,Lumab,201166,39408
09M,Deamidation,5.0823471068999995,5C,Lumab,198783,39529
12M,Deamidation,4.2201149644500004,5C,Lumab,198786,39511
04M,Deamidation,3.465,5C,Lumab,204079,39557
00M,Deamidation,2.1,25_60,Lumab,211117,42267
01M,Deamidation,2.415,25_60,Lumab,211120,42267
03M,Deamidation,3.6750000000000003,25_60,Lumab,211123,42267
06M,Deamidation,4.305,25_60,Lumab,211126,42267
00M,Deamidation,2.8350000000000004,5C,Lumab,211129,42266
01M,Deamidation,2.1,5C,Lumab,211132,42266
03M,Deamidation,2.1,5C,Lumab,211135,42266
06M,Deamidation,2.52,5C,Lumab,211138,42266
09M,Deamidation,2.7300000000000004,5C,Lumab,211141,42266
12M,Deamidation,2.625,5C,Lumab,211144,42266
18M,Deamidation,3.1500000000000004,5C,Lumab,211147,42266
24M,Deamidation,3.7800000000000002,5C,Lumab,211150,42266
30M,Deamidation,3.3600000000000003,5C,Lumab,211153,42266
36M,Deamidation,3.465,5C,Lumab,211156,42266
00M,Deamidation,2.8350000000000004,25_60,Lumab,211159,42266
01M,Deamidation,2.415,25_60,Lumab,211162,42266
03M,Deamidation,3.3600000000000003,25_60,Lumab,211165,42266
06M,Deamidation,3.2550000000000003,25_60,Lumab,211168,42266
00M,Deamidation,2.1,5C,Lumab,211172,42267
01M,Deamidation,2.625,5C,Lumab,211175,42267
03M,Deamidation,2.3100000000000005,5C,Lumab,211178,42267
06M,Deamidation,2.94,5C,Lumab,211181,42267
09M,Deamidation,3.3600000000000003,5C,Lumab,211184,42267
12M,Deamidation,3.9899999999999998,5C,Lumab,211187,42267
18M,Deamidation,3.6750000000000003,5C,Lumab,211190,42267
03M,Deamidation,3.57,5C,Lumab,13697,39408
06M,Deamidation,3.6750000000000003,5C,Lumab,13700,39408
09M,Deamidation,4.41,5C,Lumab,13703,39408
03M,Deamidation,4.407011709450001,5C,Lumab,13128,39465
00M,Deamidation,3.465,5C,Lumab,13167,39360
03M,Deamidation,3.465,5C,Lumab,13169,39360
00M,Deamidation,3.465,5C,Lumab,12768,39346
00M,Deamidation,3.465,5C,Lumab,13662,39352
03M,Deamidation,3.465,5C,Lumab,13665,39352
06M,Deamidation,3.6750000000000003,5C,Lumab,13667,39352
09M,Deamidation,3.465,5C,Lumab,13670,39352
