SAMPLE_NUMBER,Assay Date,Compartment Temp,Reagent-A ID,Reagent-A ID Exp Date,Reagent-B Exp Date,Reagent-B ID,Material-A ID,Reagent-C Lot,Reagent-D Lot,Reagent-E Lot,Reagent-F Concentration,Reagent-F Expiration,Reagent-F Lot,SOP Version,Agg%,INSTRUMENT,Main%,Lab_Site,Chemist
120629,01/28/2011,4.9,11-001-0014,04/25/2011,,,R5307-19P,,,10R1856,,01/31/2012,0R1860,4.0,5.79,027,90.43,Stat,ChemistO
126733,02/15/2011,4.9,11R0834,05/12/2011,02/23/2011,11R1008,P5530-19N,,,10R1856,,01/31/2012,0R1860,4,5.98,081,90.16,Park,ChemistV
134380,03/04/2011,5.2,11-001-0014,04/25/2011,,,R6269-22P,,,11-005-0006,,01/31/2012,0R1860,4.0,5.811,034,90.301,Stat,ChemistO
140369,03/23/2011,4.9,11R1229,06/14/2011,03/30/2011,11R0847,P5530-19N,,,10R1856,,01/31/2012,0R1860,4,5.94,050,90.20200000000001,Park,ChemistV
142003,,,,,,,,,,,,,,,,nan,,,
142895,03/30/2011,,11-001-0014,04/25/2011,,,R6284-22P,,,11-005-0006,,01/31/2012,0R1860,4.0,5.6735,030,90.536,Stat,ChemistO
150741,04/19/2011,4.9,11-002-0098,07/15/2011,,,R6269-22P,,,11-005-0006,,01/31/2012,0R1860,5.0,,030,,Stat,ChemistO
150958,04/20/2011,4.9,11-002-0098,07/15/2011,,,R6269-22P,,,11-005-0006,,01/31/2012,0R1860,5.0,5.157,030,90.822,Stat,ChemistO
158404,05/09/2011,5.2,11-004-0089,08/03/2011,,,R6284-22P,,,11-005-0006,,01/31/2012,0R1860,5.0,5.5995,030,90.54,Stat,ChemistO
166625,05/27/2011,4.9,11-004-0089,08/03/2011,,,R5435-19P,,,11-005-0006,,01/31/2012,0R1860,5.0,,027,,Stat,ChemistO
171505,06/08/2011,4.9,11-004-0089,08/03/2011,,,R6284-22P,,,11-005-0006,,01/31/2012,0R1860,5.0,5.8085,038,90.37899999999999,Stat,ChemistO
172363,,,,,,,,,,,,,,,,nan,,,
172367,,,,,,,,,,,,,,,,nan,,,
172370,,,,,,,,,,,,,,,,nan,,,
172373,,,,,,,,,,,,,,,,nan,,,
172383,06/15/2011,4.9,11R1271,09/13/2011,06/27/2011,11R1398,S4165-09P,,,10R1859,,01/31/2012,0R1860,5.0,5.85,048,90.0,Park,ChemistW
172396,06/13/2011,4.9,11-015-0052,09/09/2011,,,R6284-22P,,,11-005-0006,,01/31/2012,0R1860,5.0,5.947,027,89.8125,Stat,ChemistO
175554,06/21/2011,4.9,11-015-0052,09/09/2011,07/04/2011,11-014-0040,R6284-22P,C100,11-014-0044,11-005-0006,1.0,01/31/2012,0R1860,5.0,6.1335,029,89.6405,Stat,ChemistB
177433,06/24/2011,,11-012-0044,09/22/2011,,,R6284-22P,C100,11-014-0044,11-005-0006,1.0,01/31/2012,0R1860,5.0,6.1555,029,89.6545,Stat,ChemistB
189381,07/20/2011,4.9,11-014-0076,10/18/2011,08/03/2011,11-013-0083,R6284-22P,C100,11-014-0044,11-005-0006,1.0,01/31/2012,0R1860,5.0,6.0035,026,89.807,Stat,ChemistB
191398,07/26/2011,,11-014-0076,10/18/2011,,,R6284-22P,C100,11-014-0044,11-005-0006,1.0,01/31/2012,0R1860,5.0,6.0095,026,89.7715,Stat,ChemistB
196325,08/03/2011,,11-016-0061,09/09/2011,,,R6284-22P,C100,11-014-0044,11-005-0006,1.0,01/31/2012,0R1860,5.0,6.0565,026,89.7685,Stat,ChemistB
205882,08/25/2011,,11-014-0118,09/09/2011,,,R6284-22P,C100,11-014-0044,11-005-0006,1.0,01/31/2012,0R1860,5.0,5.9805,038,89.865,Stat,ChemistB
208966,08/31/2011,,11-015-0154,11/26/2011,,,R6284-22P,C100,11-014-0125,11-005-0006,1.0,01/31/2012,0R1860,5.0,6.013999999999999,038,89.8935,Stat,ChemistB
213108,09/12/2011,5.2,11R1271,09/13/2011,09/26/2011,11R1435,S4165-09P,C100,11R1525,11-005-0006,1.0,01/31/2012,0R1860,5.0,5.9065,080,90.053,Park,ChemistW
216453,09/20/2011,4.9,11-016-0112,12/19/2011,,,R6284-22P,C100,11-014-0125,11-005-0006,1.0,01/31/2012,0R1860,5.0,5.956,026,89.919,Stat,ChemistB
224120,10/06/2011,4.9,11-015-0173,01/03/2012,,,R6284-22P,C100,11-014-0125,11-005-0006,1.0,01/31/2012,0R1860,5.0,5.9015,026,89.99,Stat,ChemistO
224906,10/10/2011,4.9,11R0394,01/02/2012,,,S4165-09P,C100,11R0395,11-005-0006,1.0,01/31/2012,0R1860,6,,080,,Park,ChemistF
230799,10/24/2011,4.9,11R1612,01/15/2012,,,S4959-17P,C100,11R1605,11-005-0006,1.0,01/31/2012,0R1860,6,,016,,Park,ChemistF
233736,10/28/2011,,11-016-0112,12/19/2011,,,R6284-22P,C100,11-012-0179,11-005-0006,1.0,01/31/2012,0R1860,6.0,5.966,029,89.934,Stat,ChemistB
234571,11/01/2011,4.9,11-015-0173,01/03/2012,11/15/2011,11-016-0147,R6284-22P,C100,11-012-0179,11-005-0006,1.0,01/31/2012,0R1860,6.0,5.696458990599999,029,90.242809001,Stat,ChemistB
238728,11/09/2011,5.2,11R1625,02/08/2012,11/23/2011,11R1457,S4165-09P,C100,11R0397,11-005-0006,1.0,01/31/2012,0R1860,7,5.99,081,89.82,Park,ChemistA
242655,11/18/2011,5.2,11-012-0190,02/07/2012,,,R6284-22P,C100,11-012-0179,11-005-0006,1.0,01/31/2012,0R1860,7.0,5.6188391076999995,028,90.258893032,Stat,ChemistB
245772,11/23/2011,4.9,11R1625,02/05/2012,11/23/2011,11R1457,S4165-09P,C100,11R1605,11-005-0006,1.0,01/31/2012,0R1860,7,,016,,Park,ChemistA
249336,12/01/2011,4.9,11R1625,02/05/2012,,,S4165-09P,C100,11R0397,11-005-0006,1.0,01/31/2012,0R1860,7,6.1885,048,89.60799999999999,Park,ChemistA
253047,12/07/2011,4.9,11R1468,03/04/2012,,,S4165-09P,C100,11R1466,11-005-0006,1.0,01/31/2012,0R1860,7,,048,,Park,ChemistA
256566,12/14/2011,4.9,11-012-0190,02/07/2012,,,R6269-22P,C100,11-024-0081,11-005-0006,1.0,01/31/2012,0R1860,7.0,5.6852691156,028,90.27709664,Stat,ChemistB
258566,12/20/2011,4.9,11-012-0190,02/07/2012,,,R6269-22P,C100,11-024-0081,11-005-0006,1.0,01/31/2012,0R1860,7.0,5.4540302808000005,028,90.522140309,Stat,ChemistB
266629,01/04/2012,5.2,12-001-0005,04/04/2012,,,R5435-19P,C100,11-024-0081,11-005-0006,1.0,Expired: 01/31/2012,0R1860,7.0,6.021655600800001,030,90.12891648799999,Stat,ChemistB
275818,01/23/2012,4.9,12-001-0005,04/04/2012,,,R6269-22P,C100,11-024-0081,11-005-0006,1.0,01/31/2012,0R1860,8.0,5.530449663400001,027,90.58588600200001,Stat,ChemistB
279381,01/26/2012,,12-001-0040,04/24/2012,02/02/2012,12-001-0029,R5435-19P,C100,11-024-0081,11-005-0006,1.0,01/31/2013,0R1860,8.0,5.9335802437,027,90.112808455,Stat,ChemistB
292518,02/18/2012,5.2,12-003-0044,05/17/2012,,,R5435-19P,C100,12-002-0049,11-005-0006,1.0,01/31/2013,0R1860,8.0,5.8187804215,028,90.221280347,Stat,ChemistO
292562,02/19/2012,,12-003-0044,05/17/2012,,,R5435-19P,C100,12-002-0049,11-005-0006,1.0,01/31/2013,0R1860,8.0,5.851721331,028,90.12623417100001,Stat,ChemistO
